Incident_ID,schoolaffiliation,age_cat,shooterdied
19931201WIWAW,Former Student,,No
19931202CTNEN,Unknown,,No
19931208GABES,Nonstudent,Teen,No
19931215CACHS,Student,Teen,No
19931217MICHC,Teacher,Teen,No
19940120CALOH,Student,Teen,No
19940121TXKEK,Student,Teen,Yes
19940124SCEAC,Student,Teen,No
19940126DCELW,Unknown,,No
19940126DCPAW,Unknown,Teen,No
19940127CAWAS,No Relation,Adult,No
19940131WAWHS,Former Student,Adult,No
19940208MIOSD,Unknown,,No
19940218SCSPS,Unknown,Adult,No
19940301MOKEB,Intimate Relationship,Adult,No
19940303ALENB,Student,Teen,No
19940309DCEAW,Student,Teen,No
19940315SCGOC,Student,Teen,No
19940323WABAS,Unknown,Teen,No
19940325GAETC,Student,Teen,Yes
19940405TXMCA,Student,Teen,No
19940408MDLAU,Student,Teen,No
19940412MTMAB,Student,Child,No
19940413CA49L,Student,Child,Yes
19940419DCELW,Unknown,,No
19940420INDIS,Student,Teen,No
19940421TNJTN,Student,Teen,No
19940502FLNON,Student,Teen,No
19940525INLAS,Student,Teen,No
19940525NJLAW,Student,Teen,Yes
19940526KYLAU,Student,Teen,No
19940724PAMAM,Nonstudent Using Athletic Facilities/Attending Game,Teen,No
19940725IAOTO,Student,Teen,No
19940907CAHOL,Unknown,,No
19940908NYSWA,Student,Teen,No
19940919CALOL,Unknown,,No
19940922ORLEL,Student,Teen,No
19941012NCGRG,Student,Teen,Yes
19941017ILHUC,Unknown,,No
19941031CAALA,Student,Teen,No
19941105CATHS,Unknown,Adult,No
19941107OHWIW,Former Student,Adult,No
19941108IAWEM,Student,Teen,No
19941115WASTT,Student,Teen,Yes
19950105DCCAW,Student,Teen,No
19950110FLPAP,Student,Teen,Yes
19950112WAGAS,Student,Teen,No
19950123CASAR,Student,Teen,Yes
19950124DCSPW,Rival School Student,Teen,No
19950202CAJOL,Unknown,,No
19950208NECHS,Student,Teen,No
19950303MIPED,Unknown,,No
19950327MIRED,Student,Teen,No
19950614FLLAL,Former Student,Teen,No
